# 由 scripts/generate-settings-group-mapping.mjs 生成；groupTitle 为设置页二级导航名称。可手改，勿改 seq。
seq,groupTitle,groupKey
60,票面版式,ticket-format
61,菜品分区,ticket-grouping
62,送厨范围,kitchen-order-send
63,钱箱备款与平账,drawer-float-reconcile
64,钱箱与现金平账,cash-drawer-reconciliation
65,现金日结与班结,daily-cash-close
66,考勤与工时,time-attendance
67,考勤与工时,time-attendance
68,角色与员工权限,role-employee-permissions
69,角色与员工权限,role-employee-permissions
70,考勤与工时,time-attendance
71,考勤与工时,time-attendance
72,考勤与工时,time-attendance
73,考勤与工时,time-attendance
74,排班,scheduling
75,登录与终端主界面,foh-pos-shell
76,钱箱备款与平账,drawer-float-reconcile
77,营业与运营,store-hours-operation
78,外部系统对接,integrations
79,外部系统对接,integrations
80,外部系统对接,integrations
81,外部系统对接,integrations
82,卡支付规则与合规,card-fees
83,积分规则与兑换商品,points-rewards
84,积分规则与兑换商品,points-rewards
85,积分规则与兑换商品,points-rewards
86,会员账户与卡体系,member-account-system
87,会员账户与卡体系,member-account-system
88,会员账户与卡体系,member-account-system
89,会员账户与卡体系,member-account-system
90,扫码·线上下单基础,scan-online-basics
91,食客端·下单与规则,guest-order-rules
92,扫码·线上下单基础,scan-online-basics
93,线上订餐服务对接,online-order-service
94,支付签购单,payment-signature-slip
95,线上订餐服务对接,online-order-service
96,线上订餐服务对接,online-order-service
97,线上订餐服务对接,online-order-service
98,食客端·下单与规则,guest-order-rules
99,线上订餐服务对接,online-order-service
100,线上订餐服务对接,online-order-service
101,线上订餐服务对接,online-order-service
102,线上订餐服务对接,online-order-service
103,线上订餐服务对接,online-order-service
104,线上订餐服务对接,online-order-service
105,线上订餐服务对接,online-order-service
106,线上订餐服务对接,online-order-service
107,选桌与开台流程,foh-table-start-flow
108,POS 开单流程,pos-order-init
109,语言与本地化,language-localization
110,消息类型提醒,foh-pos-order-alerts
111,选桌与开台流程,foh-table-start-flow
112,菜品与菜单基础,item-menu-base
113,送厨规则与权限,foh-kitchen-send-timing
114,送厨规则与权限,foh-kitchen-send-timing
115,改单与分合单,order-edit-split-merge
116,改单与分合单,order-edit-split-merge
117,改单与分合单,order-edit-split-merge
118,POS 菜单与界面,foh-pos-menu-scope
119,改单与分合单,order-edit-split-merge
120,送厨规则与权限,foh-kitchen-send-timing
121,点单内容与客户信息,foh-pos-order-cart
122,点单内容与客户信息,foh-pos-order-cart
123,送厨规则与权限,foh-kitchen-send-timing
124,改单与分合单,order-edit-split-merge
125,送厨规则与权限,foh-kitchen-send-timing
126,订单基础,order-basics
127,订单基础,order-basics
128,订单基础,order-basics
129,订单基础,order-basics
130,订单基础,order-basics
131,订单基础,order-basics
132,点单内容与客户信息,foh-pos-order-cart
133,点单内容与客户信息,foh-pos-order-cart
134,点单界面,order-ui
135,点单内容与客户信息,foh-pos-order-cart
136,POS 点单页展示,pos-order-cart
137,点单内容与客户信息,foh-pos-order-cart
138,套餐与自定义点单,foh-pos-combo-ordering
139,套餐与自定义点单,foh-pos-combo-ordering
140,改单与分合单,order-edit-split-merge
141,点单内容与客户信息,foh-pos-order-cart
142,税务规则,tax-rules
143,税务规则,tax-rules
144,税务规则,tax-rules
145,套餐与自定义点单,foh-pos-combo-ordering
146,价格与折扣工具,pricing-tools
147,结算取整,order-settlement-rounding
148,POS 菜单与界面,foh-pos-menu-scope
149,附加费与服务费,order-surcharge-fees
150,分单合单与改单,split-merge-edit
151,找单与结账入口,foh-pos-find-order-list
152,找单与结账入口,foh-pos-find-order-list
153,找单与结账入口,foh-pos-find-order-list
154,POS 找单列表,pos-find-order-list
155,删单与厨房通知,kitchen-void-notify
156,删单与退款,order-void-refund
157,删单与退款,order-void-refund
158,删单与退款,order-void-refund
159,删单与退款,order-void-refund
160,税务规则,tax-rules
161,附加费与服务费,order-surcharge-fees
162,折扣,order-discount
163,折扣,order-discount
164,折扣,order-discount
165,登录与终端主界面,foh-pos-shell
166,登录与终端主界面,foh-pos-shell
167,出纸与设备,print-engine-device
168,界面与操作偏好,ui-operation-preferences
169,桌台与餐位,tables-floor
170,营业与运营,store-hours-operation
171,现金日结与班结,daily-cash-close
172,卡支付规则与合规,card-fees
173,门店档案,store-profile
174,POS 菜单与界面,foh-pos-menu-scope
175,登录与终端主界面,foh-pos-shell
176,POS 菜单与布局,pos-menu-ui
177,POS 菜单与布局,pos-menu-ui
178,点单内容与客户信息,foh-pos-order-cart
179,库存管控规则,inventory-control-rules
180,卡支付规则与合规,card-fees
181,钱箱备款与平账,drawer-float-reconcile
182,地址与地图服务,map-address-services
183,地址与地图服务,map-address-services
184,设备接入与基础外设,device-integration-basics
185,设备接入与基础外设,device-integration-basics
186,薪酬与小费,payroll-tips
187,高级服务与运行模式,advanced-service-switches
188,高级服务与运行模式,advanced-service-switches
189,高级服务与运行模式,advanced-service-switches
190,高级服务与运行模式,advanced-service-switches
191,高级服务与运行模式,advanced-service-switches
192,高级服务与运行模式,advanced-service-switches
193,点单页按钮显隐,foh-pos-buttons
194,点单页按钮显隐,foh-pos-buttons
195,点单页按钮显隐,foh-pos-buttons
196,点单页工具栏,foh-pos-order-toolbar
197,点单页按钮显隐,foh-pos-buttons
198,点单页按钮显隐,foh-pos-buttons
199,点单页按钮显隐,foh-pos-buttons
200,点单页按钮显隐,foh-pos-buttons
201,点单页按钮显隐,foh-pos-buttons
202,点单页按钮显隐,foh-pos-buttons
203,点单页按钮显隐,foh-pos-buttons
204,点单页按钮显隐,foh-pos-buttons
205,点单页按钮显隐,foh-pos-buttons
206,点单页按钮显隐,foh-pos-buttons
207,点单页按钮显隐,foh-pos-buttons
208,点单页按钮显隐,foh-pos-buttons
209,点单页按钮显隐,foh-pos-buttons
210,点单页按钮显隐,foh-pos-buttons
211,点单页按钮显隐,foh-pos-buttons
212,点单页按钮显隐,foh-pos-buttons
213,点单页按钮显隐,foh-pos-buttons
214,点单页按钮显隐,foh-pos-buttons
215,点单页按钮显隐,foh-pos-buttons
216,POS 菜单与界面,foh-pos-menu-scope
217,POS 菜单与界面,foh-pos-menu-scope
218,POS 菜单与界面,foh-pos-menu-scope
219,POS 菜单与界面,foh-pos-menu-scope
220,POS 菜单与界面,foh-pos-menu-scope
221,找单与结账入口,foh-pos-find-order-list
222,点单内容与客户信息,foh-pos-order-cart
223,点单内容与客户信息,foh-pos-order-cart
224,系统对接与效期管理,integration-expiry
225,系统对接与效期管理,integration-expiry
226,系统对接与效期管理,integration-expiry
227,系统对接与效期管理,integration-expiry
228,设备接入与基础外设,device-integration-basics
229,支付网关与受理,payment-gateway
230,BATCH与日结,batch-settlement
231,小费政策与计算,tip-policy
232,小费政策与计算,tip-policy
233,支付手段与展示,payment-methods
234,支付方式,payment-methods-2
235,BATCH与日结,batch-settlement
236,BATCH与日结,batch-settlement
237,小费政策与计算,tip-policy
238,BATCH与日结,batch-settlement
239,BATCH与日结,batch-settlement
240,BATCH与日结,batch-settlement
241,考勤与工时,time-attendance
242,卡支付规则与合规,card-fees
243,卡支付规则与合规,card-fees
244,小费政策与计算,tip-policy
245,支付收据流程,payment-receipt-flow
246,支付签购单,payment-signature-slip
247,支付签购单,payment-signature-slip
248,找单与结账入口,foh-pos-find-order-list
249,支付收据流程,payment-receipt-flow
250,支付签购单,payment-signature-slip
251,找单与结账入口,foh-pos-find-order-list
252,小费政策与计算,tip-policy
253,小费政策与计算,tip-policy
254,钱箱与支付终端,cash-payment-terminals
255,钱箱与支付终端,cash-payment-terminals
256,出纸与设备,print-engine-device
257,平台订单与小票,platform-delivery-slips
258,多票种共用,cross-ticket-fields
259,出纸与设备,print-engine-device
260,支付收据流程,payment-receipt-flow
261,支付签购单,payment-signature-slip
262,订单收据,order-receipt
263,支付收据流程,payment-receipt-flow
264,订单收据,order-receipt
265,出纸与设备,print-engine-device
266,小费政策与计算,tip-policy
267,平台订单与小票,platform-delivery-slips
268,支付收据流程,payment-receipt-flow
269,出纸与设备,print-engine-device
270,打印基础,print-foundation-devices
271,多票种共用,cross-ticket-fields
272,支付签购单,payment-signature-slip
273,订单收据,order-receipt
274,订单收据,order-receipt
275,订单收据,order-receipt
276,订单收据,order-receipt
277,订单收据,order-receipt
278,订单收据,order-receipt
279,订单收据,order-receipt
280,订单收据,order-receipt
281,订单收据,order-receipt
282,订单收据,order-receipt
283,订单收据,order-receipt
284,订单收据,order-receipt
285,订单收据,order-receipt
286,订单收据,order-receipt
287,相同行合并,line-merge-rules
288,相同行合并,line-merge-rules
289,订单收据,order-receipt
290,订单收据,order-receipt
291,取餐号小票,pickup-number-slip
292,取餐号小票,pickup-number-slip
293,小费政策与计算,tip-policy
294,小费政策与计算,tip-policy
295,小费政策与计算,tip-policy
296,小费政策与计算,tip-policy
297,打包单,packing-slip
298,打包单,packing-slip
299,打包单,packing-slip
300,打包单,packing-slip
301,相同行合并,line-merge-rules
302,相同行合并,line-merge-rules
303,打包单,packing-slip
304,厨房单分张,kitchen-ticket-issue
305,费用折扣与小费支出,fees-tips-expense
306,薪酬与小费,payroll-tips
307,收单成本与报表口径,processor-cost-basis
308,报表基础口径与导出,report-basics-export
309,薪酬与小费,payroll-tips
310,薪酬与小费,payroll-tips
311,报表基础口径与导出,report-basics-export
312,报表基础口径与导出,report-basics-export
313,总报表字段与核算项,summary-report-fields
314,总报表字段与核算项,summary-report-fields
315,总报表字段与核算项,summary-report-fields
316,总报表字段与核算项,summary-report-fields
317,总报表字段与核算项,summary-report-fields
318,总报表字段与核算项,summary-report-fields
319,总报表字段与核算项,summary-report-fields
320,总报表字段与核算项,summary-report-fields
321,总报表字段与核算项,summary-report-fields
322,总报表字段与核算项,summary-report-fields
323,总报表字段与核算项,summary-report-fields
324,总报表字段与核算项,summary-report-fields
325,总报表字段与核算项,summary-report-fields
326,总报表字段与核算项,summary-report-fields
327,总报表字段与核算项,summary-report-fields
328,总报表字段与核算项,summary-report-fields
329,考勤与工时,time-attendance
330,现金日结与班结,daily-cash-close
331,消息类型提醒,foh-pos-order-alerts
332,消息类型提醒,foh-pos-order-alerts
333,桌边呼叫,foh-tableside-service
334,订单与取餐通知,order-pickup-messages
335,订单与取餐通知,order-pickup-messages
336,订单与取餐通知,order-pickup-messages
337,订单与取餐通知,order-pickup-messages
338,订单与取餐通知,order-pickup-messages
339,订单与取餐通知,order-pickup-messages
340,订单与取餐通知,order-pickup-messages
341,预约提醒与自动化,reservation-automation
342,预约提醒与自动化,reservation-automation
343,高级设置,高级设置
344,高级服务与运行模式,advanced-service-switches
345,送厨规则与权限,foh-kitchen-send-timing
346,登录与终端主界面,foh-pos-shell
347,清桌与换服务员（企台）,foh-table-clear-ops
348,POS 菜单与界面,foh-pos-menu-scope
349,点单内容与客户信息,foh-pos-order-cart
350,POS 菜单与界面,foh-pos-menu-scope
351,清桌与换服务员（企台）,foh-table-clear-ops
352,打印机与输出设备,printer-output-devices
353,打印机与输出设备,printer-output-devices
354,打印机与输出设备,printer-output-devices
355,打印机与输出设备,printer-output-devices
356,打印机与输出设备,printer-output-devices
357,打印机与输出设备,printer-output-devices
358,打印机与输出设备,printer-output-devices
359,打印机与输出设备,printer-output-devices
360,打印机与输出设备,printer-output-devices
361,打印机与输出设备,printer-output-devices
362,打印机与输出设备,printer-output-devices
363,打印机与输出设备,printer-output-devices
364,钱箱与支付终端,cash-payment-terminals
365,钱箱与支付终端,cash-payment-terminals
366,钱箱与支付终端,cash-payment-terminals
367,钱箱与支付终端,cash-payment-terminals
368,钱箱与支付终端,cash-payment-terminals
369,角色与员工权限,role-employee-permissions
370,终端设备绑定与区域,client-device-binding
371,终端设备绑定与区域,client-device-binding
372,打印机与输出设备,printer-output-devices
373,打印机与输出设备,printer-output-devices
374,打印机与输出设备,printer-output-devices
375,打印机与输出设备,printer-output-devices
376,打印机与输出设备,printer-output-devices
377,钱箱与支付终端,cash-payment-terminals
378,终端设备绑定与区域,client-device-binding
379,设备接入与基础外设,device-integration-basics
380,设备接入与基础外设,device-integration-basics
381,设备接入与基础外设,device-integration-basics
382,设备接入与基础外设,device-integration-basics
383,设备接入与基础外设,device-integration-basics
384,终端设备绑定与区域,client-device-binding
385,打印机与输出设备,printer-output-devices
386,打印机与输出设备,printer-output-devices
387,打印机与输出设备,printer-output-devices
388,打印机与输出设备,printer-output-devices
389,打印机与输出设备,printer-output-devices
390,钱箱与支付终端,cash-payment-terminals
391,打印机与输出设备,printer-output-devices
392,钱箱与支付终端,cash-payment-terminals
393,打印机与输出设备,printer-output-devices
394,打印机与输出设备,printer-output-devices
395,打印机与输出设备,printer-output-devices
396,钱箱与支付终端,cash-payment-terminals
397,钱箱与支付终端,cash-payment-terminals
398,钱箱与支付终端,cash-payment-terminals
399,钱箱与支付终端,cash-payment-terminals
400,钱箱与支付终端,cash-payment-terminals
401,钱箱与支付终端,cash-payment-terminals
402,钱箱与支付终端,cash-payment-terminals
403,钱箱与支付终端,cash-payment-terminals
404,钱箱与支付终端,cash-payment-terminals
405,钱箱与支付终端,cash-payment-terminals
406,税控与蓝牙外设,fiscal-bluetooth
407,税控与蓝牙外设,fiscal-bluetooth
408,税控与蓝牙外设,fiscal-bluetooth
409,税控与蓝牙外设,fiscal-bluetooth
410,税控与蓝牙外设,fiscal-bluetooth
411,税控与蓝牙外设,fiscal-bluetooth
412,税控与蓝牙外设,fiscal-bluetooth
413,税控与蓝牙外设,fiscal-bluetooth
414,税控与蓝牙外设,fiscal-bluetooth
415,税控与蓝牙外设,fiscal-bluetooth
416,税控与蓝牙外设,fiscal-bluetooth
417,门店档案,store-profile
418,营业与运营,store-hours-operation
419,地址数据维护,address-data-maintenance
420,地址数据维护,address-data-maintenance
421,评价内容治理,review-content-moderation
422,数据维护与备份,data-maintenance-backup
423,数据维护与备份,data-maintenance-backup
424,报表基础口径与导出,report-basics-export
425,员工与出勤,staff-profile
426,角色与员工权限,role-employee-permissions
427,员工与出勤,staff-profile
428,平面图,平面图
429,外送区域与打包费,delivery-packaging
430,屏显与终端素材,screen-terminal-assets
431,屏显与终端素材,screen-terminal-assets
432,封面与背景素材,cover-background-assets
433,品牌标识素材,brand-identity-assets
434,品牌标识素材,brand-identity-assets
435,专题分析报表,topic-analysis-reports
436,专题分析报表,topic-analysis-reports
437,排班,scheduling
438,菜品与菜单基础,item-menu-base
439,菜品与菜单基础,item-menu-base
440,菜品与菜单基础,item-menu-base
441,菜品与菜单基础,item-menu-base
442,促销活动与规则,promo-strategy
443,计时与自助餐规则,foh-guest-duration-scenarios
444,菜品与菜单基础,item-menu-base
445,税务规则,tax-rules
446,折扣,order-discount
447,附加费与服务费,order-surcharge-fees
448,支付手段与展示,payment-methods
449,收银记录与审计,register-audit-records
450,收银记录与审计,register-audit-records
451,费用折扣与小费支出,fees-tips-expense
452,卡交易与附加费用,card-fees-2
453,专题分析报表,topic-analysis-reports
454,卡支付规则与合规,card-fees
455,打印基础,print-foundation-devices
456,菜品与菜单基础,item-menu-base
457,LevelUp,LevelUp
458,7shifts,7shifts
459,Ingenico-Blu,Ingenico-Blu
460,WorldPay,WorldPay
461,客显屏,cds
462,客显屏,cds
463,结账与交互,cds-checkout-ux
464,结账与交互,cds-checkout-ux
465,结账与交互,cds-checkout-ux
466,客显屏,cds
467,语言,语言
468,库存主数据与库位,master-data-locations
469,库存主数据与库位,master-data-locations
470,（未填写）,未填写
471,库存主数据与库位,master-data-locations
472,盘点与运营视图,stocktaking-operations
473,盘点与运营视图,stocktaking-operations
474,（未填写）,未填写
475,盘点与运营视图,stocktaking-operations
476,菜品与菜单基础,item-menu-base
477,系统对接与效期管理,integration-expiry
478,电子礼品卡渠道,giftcard-channels
479,会员账户与卡体系,member-account-system
480,会员账户与卡体系,member-account-system
481,会员账户与卡体系,member-account-system
482,会员账户与卡体系,member-account-system
483,点单页工具栏,foh-pos-order-toolbar
484,点单页工具栏,foh-pos-order-toolbar
485,点单页工具栏,foh-pos-order-toolbar
486,点单页工具栏,foh-pos-order-toolbar
487,订单类型、取餐与送厨,foh-guest-order-type
488,订单类型、取餐与送厨,foh-guest-order-type
489,订单类型、取餐与送厨,foh-guest-order-type
490,订单类型、取餐与送厨,foh-guest-order-type
491,订单类型、取餐与送厨,foh-guest-order-type
492,扫码端·结账交互,guest-self-checkout-ux
493,小费政策与计算,tip-policy
494,扫码端·结账交互,guest-self-checkout-ux
495,扫码端·结账交互,guest-self-checkout-ux
496,扫码端·结账交互,guest-self-checkout-ux
497,扫码端·结账交互,guest-self-checkout-ux
498,打印机与输出设备,printer-output-devices
499,打印机与输出设备,printer-output-devices
500,订单收据,order-receipt
501,扫码端·结账交互,guest-self-checkout-ux
502,订单类型、取餐与送厨,foh-guest-order-type
503,订单类型、取餐与送厨,foh-guest-order-type
504,食客登记与会员,foh-guest-registration
505,食客登记与会员,foh-guest-registration
506,食客登记与会员,foh-guest-registration
507,食客登记与会员,foh-guest-registration
508,登录注册与信息校验,login-verification
509,菜单与购物车展示,foh-guest-menu-body
510,食客登记与会员,foh-guest-registration
511,支付手段与展示,payment-methods
512,卡交易与附加费用,card-fees-3
513,语言,语言
514,语言,语言
515,菜单与购物车展示,foh-guest-menu-body
516,菜单与购物车展示,foh-guest-menu-body
517,菜单与购物车展示,foh-guest-menu-body
518,菜单与购物车展示,foh-guest-menu-body
519,菜单与购物车展示,foh-guest-menu-body
520,菜单与购物车展示,foh-guest-menu-body
521,点单备注,foh-guest-order-notes
522,点单备注,foh-guest-order-notes
523,点单备注,foh-guest-order-notes
524,菜单与购物车展示,foh-guest-menu-body
525,菜单与购物车展示,foh-guest-menu-body
526,菜单与购物车展示,foh-guest-menu-body
527,食客端·下单与规则,guest-order-rules
528,菜单与购物车展示,foh-guest-menu-body
529,等位排队规则,waitlist-queue-rules
530,品牌与菜单展示,brand-menu-presentation
531,品牌与菜单展示,brand-menu-presentation
532,点餐首页与入口,foh-guest-menu-home
533,桌台与餐位,tables-floor
534,清桌与换服务员（企台）,foh-table-clear-ops
535,等待时长计算与展示,foh-wait-time-display
536,等待时长计算与展示,foh-wait-time-display
537,等待时长计算与展示,foh-wait-time-display
538,等待时长计算与展示,foh-wait-time-display
539,等待时长计算与展示,foh-wait-time-display
540,等待时长计算与展示,foh-wait-time-display
541,促销渠道与载体,promo-channel
542,食客端·首页与版式,guest-menu-global
543,卡交易与附加费用,card-fees-4
544,备注与附加服务,guest-notes-fees
545,备注与附加服务,guest-notes-fees
546,加收,order-surcharge
547,品牌与菜单展示,brand-menu-presentation
548,品牌与菜单展示,brand-menu-presentation
549,促销活动与规则,promo-strategy
550,终端设备绑定与区域,client-device-binding
551,待机屏保,idle-screensaver
552,标签与分类属性,tags-attributes
553,营销内容与素材,content-assets
554,会员引导与权益展示,member-guidance-benefits
555,封面与背景素材,cover-background-assets
556,品牌标识素材,brand-identity-assets
557,营销内容与素材,content-assets
558,核心是“将特定终端设备与,核心是-将特定终端设备与
559,eMenu设备与展示模式,emenu-device-display
560,eMenu设备与展示模式,emenu-device-display
561,eMenu设备与展示模式,emenu-device-display
562,eMenu设备与展示模式,emenu-device-display
563,食客下单限制规则,guest-order-limits
564,食客下单限制规则,guest-order-limits
565,食客下单限制规则,guest-order-limits
566,食客下单限制规则,guest-order-limits
567,食客端·下单与规则,guest-order-rules
568,食客下单限制规则,guest-order-limits
569,食客端·下单与规则,guest-order-rules
570,食客端·下单与规则,guest-order-rules
571,计时与自助餐规则,foh-guest-duration-scenarios
572,火锅点餐,foh-guest-hotpot
573,火锅点餐,foh-guest-hotpot
574,火锅点餐,foh-guest-hotpot
575,火锅点餐,foh-guest-hotpot
576,食客下单限制规则,guest-order-limits
577,计时与自助餐规则,foh-guest-duration-scenarios
578,计时与自助餐规则,foh-guest-duration-scenarios
579,计时与自助餐规则,foh-guest-duration-scenarios
580,计时与自助餐规则,foh-guest-duration-scenarios
581,订单类型、取餐与送厨,foh-guest-order-type
582,营业与运营,store-hours-operation
583,食客下单限制规则,guest-order-limits
584,食客下单限制规则,guest-order-limits
585,食客下单限制规则,guest-order-limits
586,食客下单限制规则,guest-order-limits
587,食客下单限制规则,guest-order-limits
588,食客下单限制规则,guest-order-limits
589,食客下单限制规则,guest-order-limits
590,食客下单限制规则,guest-order-limits
591,食客下单限制规则,guest-order-limits
592,选桌与开台流程,foh-table-start-flow
593,开单·桌台与场景,order-init-scenario
594,下单操作限制与授权,order-operation-guardrails
595,下单操作限制与授权,order-operation-guardrails
596,下单操作限制与授权,order-operation-guardrails
597,食客端·下单与规则,guest-order-rules
598,食客端·下单与规则,guest-order-rules
599,点餐首页与入口,foh-guest-menu-home
600,点餐首页与入口,foh-guest-menu-home
601,点餐首页与入口,foh-guest-menu-home
602,点餐首页与入口,foh-guest-menu-home
603,展示设置,展示设置
604,点餐首页与入口,foh-guest-menu-home
605,展示设置,展示设置
606,菜单与购物车展示,foh-guest-menu-body
607,菜单与购物车展示,foh-guest-menu-body
608,菜单与购物车展示,foh-guest-menu-body
609,展示设置,展示设置
610,展示设置,展示设置
611,点餐首页与入口,foh-guest-menu-home
612,食客端·首页与版式,guest-menu-global
613,展示设置,展示设置
614,展示设置,展示设置
615,会员引导与权益展示,member-guidance-benefits
616,菜单与购物车展示,foh-guest-menu-body
617,菜单与购物车展示,foh-guest-menu-body
618,菜单与购物车展示,foh-guest-menu-body
619,选桌与开台流程,foh-table-start-flow
620,点单前限制与授权,foh-guest-pre-order
621,选桌与开台流程,foh-table-start-flow
622,食客登记与会员,foh-guest-registration
623,食客登记与会员,foh-guest-registration
624,登录注册与信息校验,login-verification
625,选桌与开台流程,foh-table-start-flow
626,点单前限制与授权,foh-guest-pre-order
627,点单前限制与授权,foh-guest-pre-order
628,标签与分类属性,tags-attributes
629,呼叫服务员与现场提醒,service-call-alerts
630,呼叫服务员与现场提醒,service-call-alerts
631,呼叫服务员与现场提醒,service-call-alerts
632,呼叫服务员与现场提醒,service-call-alerts
633,呼叫服务员与现场提醒,service-call-alerts
634,呼叫服务员与现场提醒,service-call-alerts
635,呼叫服务员与现场提醒,service-call-alerts
636,呼叫服务员与现场提醒,service-call-alerts
637,消息类型提醒,foh-pos-order-alerts
638,消息类型提醒,foh-pos-order-alerts
639,消息类型提醒,foh-pos-order-alerts
640,桌边呼叫,foh-tableside-service
641,桌边呼叫,foh-tableside-service
642,清桌与换服务员（企台）,foh-table-clear-ops
643,选桌与开台流程,foh-table-start-flow
644,选桌与开台流程,foh-table-start-flow
645,菜单与购物车展示,foh-guest-menu-body
646,账户安全与授权,account-security-auth
647,抽奖活动设置,lottery-activity-settings
648,投放位与触发规则,placement-trigger
649,投放位与触发规则,placement-trigger
650,会员引导与权益展示,member-guidance-benefits
651,营销内容与素材,content-assets
652,食客端语言,foh-guest-facing-locale
653,食客端语言,foh-guest-facing-locale
654,订单收据,order-receipt
655,食客端·品类与场景菜单,guest-menu-scenarios
656,食客端·品类与场景菜单,guest-menu-scenarios
657,食客端·品类与场景菜单,guest-menu-scenarios
658,食客端·品类与场景菜单,guest-menu-scenarios
659,食客端·品类与场景菜单,guest-menu-scenarios
660,食客端·品类与场景菜单,guest-menu-scenarios
661,食客端·品类与场景菜单,guest-menu-scenarios
662,Paypad·结账交互,paypad-checkout
663,Paypad·结账交互,paypad-checkout
664,Paypad·结账交互,paypad-checkout
665,Paypad·结账交互,paypad-checkout
666,Paypad·结账交互,paypad-checkout
667,Paypad·结账交互,paypad-checkout
668,钱箱与支付终端,cash-payment-terminals
669,结账与交互,cds-checkout-ux
670,钱箱与支付终端,cash-payment-terminals
